,Epoch,Trainset Loss,Testset Loss,Trainset Accuracy,Testset Accuracy,Trainset Classwise Accuracy,Testset Classwise Accuracy
43,44,1.7103231967485044,357.8330337703228,99.998,74.05000000000001,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 100.0, 'deer': 100.0, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 99.98}","{'plane': 77.0, 'car': 87.2, 'bird': 61.6, 'cat': 54.6, 'deer': 67.0, 'dog': 62.5, 'frog': 83.0, 'horse': 77.60000000000001, 'ship': 85.3, 'truck': 84.7}"
44,45,1.7121842560300138,353.79645769298077,99.998,74.28,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 99.98, 'deer': 100.0, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 100.0}","{'plane': 77.8, 'car': 88.8, 'bird': 60.6, 'cat': 53.900000000000006, 'deer': 67.0, 'dog': 64.8, 'frog': 82.5, 'horse': 78.0, 'ship': 85.5, 'truck': 83.89999999999999}"
45,46,1.7350248627190012,354.83490961790085,99.998,74.1,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 100.0, 'deer': 100.0, 'dog': 99.98, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 100.0}","{'plane': 77.2, 'car': 87.7, 'bird': 61.7, 'cat': 50.5, 'deer': 68.8, 'dog': 66.10000000000001, 'frog': 82.5, 'horse': 77.10000000000001, 'ship': 85.8, 'truck': 83.6}"
46,47,1.9840665735973744,352.2643407434225,100.0,74.16,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 100.0, 'deer': 100.0, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 100.0}","{'plane': 76.6, 'car': 89.0, 'bird': 62.1, 'cat': 52.900000000000006, 'deer': 68.2, 'dog': 64.7, 'frog': 82.1, 'horse': 77.9, 'ship': 85.2, 'truck': 82.89999999999999}"
47,48,1.6817422365566017,347.65204894542694,100.0,74.18,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 100.0, 'deer': 100.0, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 100.0}","{'plane': 78.2, 'car': 87.4, 'bird': 62.4, 'cat': 53.400000000000006, 'deer': 68.89999999999999, 'dog': 63.2, 'frog': 82.1, 'horse': 77.60000000000001, 'ship': 85.2, 'truck': 83.39999999999999}"
48,49,1.9648815828259103,345.80862133204937,99.998,74.26,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 100.0, 'deer': 100.0, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 99.98, 'truck': 100.0}","{'plane': 77.4, 'car': 87.1, 'bird': 61.5, 'cat': 53.1, 'deer': 68.2, 'dog': 64.9, 'frog': 82.39999999999999, 'horse': 77.8, 'ship': 85.9, 'truck': 84.3}"
49,50,1.8790979903424159,344.3977450430393,99.998,74.27,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 100.0, 'deer': 100.0, 'dog': 99.98, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 100.0}","{'plane': 76.7, 'car': 87.5, 'bird': 61.199999999999996, 'cat': 53.900000000000006, 'deer': 69.5, 'dog': 64.5, 'frog': 81.89999999999999, 'horse': 76.9, 'ship': 86.3, 'truck': 84.3}"
50,51,1.950402315123938,341.6628356873989,99.998,74.45,"{'plane': 99.98, 'car': 100.0, 'bird': 100.0, 'cat': 100.0, 'deer': 100.0, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 100.0}","{'plane': 77.8, 'car': 88.1, 'bird': 61.6, 'cat': 53.2, 'deer': 68.0, 'dog': 65.3, 'frog': 83.1, 'horse': 78.0, 'ship': 86.0, 'truck': 83.39999999999999}"
51,52,1.7418500499770744,339.90582151710987,100.0,74.44,"{'plane': 100.0, 'car': 100.0, 'bird': 100.0, 'cat': 100.0, 'deer': 100.0, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 100.0}","{'plane': 78.0, 'car': 87.3, 'bird': 61.7, 'cat': 54.2, 'deer': 68.10000000000001, 'dog': 64.2, 'frog': 82.6, 'horse': 77.8, 'ship': 86.2, 'truck': 84.3}"
52,53,1.9640857129561482,342.2296909689903,99.998,74.08,"{'plane': 100.0, 'car': 100.0, 'bird': 99.98, 'cat': 100.0, 'deer': 100.0, 'dog': 100.0, 'frog': 100.0, 'horse': 100.0, 'ship': 100.0, 'truck': 100.0}","{'plane': 76.8, 'car': 87.9, 'bird': 62.3, 'cat': 51.1, 'deer': 67.9, 'dog': 66.8, 'frog': 81.89999999999999, 'horse': 76.2, 'ship': 86.0, 'truck': 83.89999999999999}"
